series_id,description
CUSR0000SEFS02,"Salad dressing in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFS03,"Other fats and oils including peanut butter in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFT,"Other foods in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFT01,"Soups in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFT02,"Frozen and freeze dried prepared foods in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFT03,"Snacks in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFT04,"Spices, seasonings, condiments, sauces in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFT06,"Other miscellaneous foods in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFV,"Food away from home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFV01,"Full service meals and snacks in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFV03,"Food at employee sites and schools in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFV05,"Other food away from home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFW,"Alcoholic beverages at home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFW01,"Beer, ale, and other malt beverages at home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFW02,"Distilled spirits at home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFW03,"Wine at home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEFX,"Alcoholic beverages away from home in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEGA,"Tobacco and smoking products in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEGA01,"Cigarettes in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEGB,"Personal care products in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEGD,"Miscellaneous personal services in U.S. city average, all urban consumers, seasonally adjusted"
CUSR0000SEGD01,"Legal services in U.S. city average, all urban consumers, seasonally adjusted"
