series_id,description
JTS000000100000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000JOR,"Job openings, Rate, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000QUL,"Quits, Level - In Thousands, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000QUR,"Quits, Rate, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000TSR,"Total separations, Rate, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000100000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Delaware, All size classes, Seasonally Adjusted"
JTS000000110000000HIL,"Hires, Level - In Thousands, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000HIR,"Hires, Rate, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000JOL,"Job openings, Level - In Thousands, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000JOR,"Job openings, Rate, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000LDR,"Layoffs and discharges, Rate, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000QUL,"Quits, Level - In Thousands, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000QUR,"Quits, Rate, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000TSL,"Total separations, Level - In Thousands, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000TSR,"Total separations, Rate, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000110000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, District of Columbia, All size classes, Seasonally Adjusted"
JTS000000120000000HIL,"Hires, Level - In Thousands, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000HIR,"Hires, Rate, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000JOR,"Job openings, Rate, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000QUL,"Quits, Level - In Thousands, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000QUR,"Quits, Rate, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000TSR,"Total separations, Rate, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000120000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Florida, All size classes, Seasonally Adjusted"
JTS000000130000000HIL,"Hires, Level - In Thousands, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000HIR,"Hires, Rate, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000JOL,"Job openings, Level - In Thousands, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000JOR,"Job openings, Rate, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000LDL,"Layoffs and discharges, Level - In Thousands, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000LDR,"Layoffs and discharges, Rate, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000QUL,"Quits, Level - In Thousands, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000QUR,"Quits, Rate, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000TSL,"Total separations, Level - In Thousands, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000TSR,"Total separations, Rate, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
JTS000000130000000UOR,"Unemployed persons per job opening ratio, Rate, Total nonfarm, Georgia, All size classes, Seasonally Adjusted"
