series_id,description
PCU22111-22111-,"PPI industry data for Electric power generation, not seasonally adjusted"
PCU221110221110,"PPI industry data for Electric power generation, not seasonally adjusted"
PCU2211102211104,"PPI industry data for Electric power generation-Utilities, not seasonally adjusted"
PCU2211102211105,"PPI industry data for Electric power generation-Non-utilities, not seasonally adjusted"
PCU221110221110M,"PPI industry data for Electric power generation-Miscellaneous receipts, not seasonally adjusted"
PCU221110221110P,"PPI industry data for Electric power generation-Primary products, not seasonally adjusted"
PCU22112-22112-,"PPI industry data for Electric power transmission, control, and distribution, not seasonally adjusted"
PCU221121221121,"PPI industry data for Electric bulk power transmission and control, not seasonally adjusted"
PCU2211212211213,"PPI industry data for Electric bulk power transmission and control, not seasonally adjusted"
PCU221121221121P,"PPI industry data for Electric bulk power transmission and control-Primary products, not seasonally adjusted"
PCU221122221122,"PPI industry data for Electric power distribution, not seasonally adjusted"
PCU22112222112241,"PPI industry data for Electric power distribution-Residential electric power, not seasonally adjusted"
PCU221122221122411,"PPI industry data for Electric power distribution-New England residential electric power, not seasonally adjusted"
PCU221122221122412,"PPI industry data for Electric power distribution-Middle Atlantic residential electric power, not seasonally adjusted"
PCU221122221122413,"PPI industry data for Electric power distribution-East North Central residential electric power, not seasonally adjusted"
PCU221122221122414,"PPI industry data for Electric power distribution-West North Central residential electric power, not seasonally adjusted"
PCU221122221122415,"PPI industry data for Electric power distribution-South Atlantic residential electric power, not seasonally adjusted"
PCU221122221122416,"PPI industry data for Electric power distribution-East South Central residential electric power, not seasonally adjusted"
PCU221122221122417,"PPI industry data for Electric power distribution-West South Central residential electric power, not seasonally adjusted"
PCU221122221122418,"PPI industry data for Electric power distribution-Mountain residential electric power, not seasonally adjusted"
PCU221122221122419,"PPI industry data for Electric power distribution-Pacific residential electric power, not seasonally adjusted"
PCU22112222112242,"PPI industry data for Electric power distribution-Commercial electric power, not seasonally adjusted"
PCU221122221122421,"PPI industry data for Electric power distribution-New England commercial electric power, not seasonally adjusted"
PCU221122221122422,"PPI industry data for Electric power distribution-Middle Atlantic commercial electric power, not seasonally adjusted"
PCU221122221122423,"PPI industry data for Electric power distribution-East North Central commercial electric power, not seasonally adjusted"
PCU221122221122424,"PPI industry data for Electric power distribution-West North Central commercial electric power, not seasonally adjusted"
PCU221122221122425,"PPI industry data for Electric power distribution-South Atlantic commercial electric power, not seasonally adjusted"
PCU221122221122426,"PPI industry data for Electric power distribution-East South Central commercial electric power, not seasonally adjusted"
PCU221122221122427,"PPI industry data for Electric power distribution-West South Central commercial electric power, not seasonally adjusted"
PCU221122221122428,"PPI industry data for Electric power distribution-Mountain commercial electric power, not seasonally adjusted"
PCU221122221122429,"PPI industry data for Electric power distribution-Pacific commercial electric power, not seasonally adjusted"
PCU22112222112243,"PPI industry data for Electric power distribution-Industrial electric power, not seasonally adjusted"
PCU221122221122431,"PPI industry data for Electric power distribution-New England industrial electric power, not seasonally adjusted"
PCU221122221122432,"PPI industry data for Electric power distribution-Middle Atlantic industrial electric power, not seasonally adjusted"
PCU221122221122433,"PPI industry data for Electric power distribution-East North Central industrial electric power, not seasonally adjusted"
PCU221122221122434,"PPI industry data for Electric power distribution-West North Central industrial electric power, not seasonally adjusted"
PCU221122221122435,"PPI industry data for Electric power distribution-South Atlantic industrial electric power, not seasonally adjusted"
PCU221122221122436,"PPI industry data for Electric power distribution-East South Central industrial electric power, not seasonally adjusted"
PCU221122221122437,"PPI industry data for Electric power distribution-West South Central industrial electric power, not seasonally adjusted"
PCU221122221122438,"PPI industry data for Electric power distribution-Mountain industrial electric power, not seasonally adjusted"
PCU221122221122439,"PPI industry data for Electric power distribution-Pacific industrial electric power, not seasonally adjusted"
PCU22112222112245,"PPI industry data for Electric power distribution-Transportation electric power, not seasonally adjusted"
PCU221122221122M,"PPI industry data for Electric power distribution-Miscellaneous receipts, not seasonally adjusted"
PCU221122221122MM,"PPI industry data for Electric power distribution-Miscellaneous receipts, not seasonally adjusted"
PCU221122221122P,"PPI industry data for Electric power distribution-Primary products, not seasonally adjusted"
PCU221122221122S1,"PPI industry data for Electric power distribution-Secondary products, not seasonally adjusted"
PCU2212--2212--,"PPI industry group data for Natural gas distribution, not seasonally adjusted"
PCU22121-22121-,"PPI industry data for Natural gas distribution, not seasonally adjusted"
PCU221210221210,"PPI industry data for Natural gas distribution, not seasonally adjusted"
PCU22121022121011,"PPI industry data for Natural gas distribution-Natural gas to ultimate consumers, not seasonally adjusted"
PCU221210221210112,"PPI industry data for Natural gas distribution-Residential natural gas, not seasonally adjusted"
PCU2212102212101121,"PPI industry data for Natural gas distribution-New England residential natural gas, not seasonally adjusted"
PCU2212102212101122,"PPI industry data for Natural gas distribution-Middle Atlantic residential natural gas, not seasonally adjusted"
PCU2212102212101123,"PPI industry data for Natural gas distribution-East North Central residential natural gas, not seasonally adjusted"
PCU2212102212101124,"PPI industry data for Natural gas distribution-West North Central residential natural gas, not seasonally adjusted"
PCU2212102212101125,"PPI industry data for Natural gas distribution-South Atlantic residential natural gas, not seasonally adjusted"
PCU2212102212101126,"PPI industry data for Natural gas distribution-East South Central residential natural gas, not seasonally adjusted"
PCU2212102212101127,"PPI industry data for Natural gas distribution-West South Central residential natural gas, not seasonally adjusted"
PCU2212102212101128,"PPI industry data for Natural gas distribution-Mountain residential natural gas, not seasonally adjusted"
PCU2212102212101129,"PPI industry data for Natural gas distribution-Pacific residential natural gas, not seasonally adjusted"
PCU221210221210113,"PPI industry data for Natural gas distribution-Commercial natural gas, not seasonally adjusted"
PCU2212102212101131,"PPI industry data for Natural gas distribution-New England commercial natural gas, not seasonally adjusted"
PCU2212102212101132,"PPI industry data for Natural gas distribution-Middle Atlantic commercial natural gas, not seasonally adjusted"
