series_id,description
LASST040000000000003,Unemployment Rate: Arizona (S)
LASST040000000000004,Unemployment: Arizona (S)
LASST040000000000005,Employment: Arizona (S)
LASST040000000000006,Labor Force: Arizona (S)
LASST040000000000007,Employment-Population Ratio: Arizona (S)
LASST040000000000008,Labor Force Participation Rate: Arizona (S)
LASST050000000000003,Unemployment Rate: Arkansas (S)
LASST050000000000004,Unemployment: Arkansas (S)
LASST050000000000005,Employment: Arkansas (S)
LASST050000000000006,Labor Force: Arkansas (S)
LASST050000000000007,Employment-Population Ratio: Arkansas (S)
LASST050000000000008,Labor Force Participation Rate: Arkansas (S)
LASST060000000000003,Unemployment Rate: California (S)
LASST060000000000004,Unemployment: California (S)
LASST060000000000005,Employment: California (S)
LASST060000000000006,Labor Force: California (S)
LASST060000000000007,Employment-Population Ratio: California (S)
LASST060000000000008,Labor Force Participation Rate: California (S)
LASST080000000000003,Unemployment Rate: Colorado (S)
LASST080000000000004,Unemployment: Colorado (S)
LASST080000000000005,Employment: Colorado (S)
LASST080000000000006,Labor Force: Colorado (S)
LASST080000000000007,Employment-Population Ratio: Colorado (S)
LASST080000000000008,Labor Force Participation Rate: Colorado (S)
LASST090000000000003,Unemployment Rate: Connecticut (S)
LASST090000000000004,Unemployment: Connecticut (S)
LASST090000000000005,Employment: Connecticut (S)
LASST090000000000006,Labor Force: Connecticut (S)
LASST090000000000007,Employment-Population Ratio: Connecticut (S)
LASST090000000000008,Labor Force Participation Rate: Connecticut (S)
LASST100000000000003,Unemployment Rate: Delaware (S)
LASST100000000000004,Unemployment: Delaware (S)
LASST100000000000005,Employment: Delaware (S)
LASST100000000000006,Labor Force: Delaware (S)
LASST100000000000007,Employment-Population Ratio: Delaware (S)
LASST100000000000008,Labor Force Participation Rate: Delaware (S)
LASST110000000000003,Unemployment Rate: District of Columbia (S)
LASST110000000000004,Unemployment: District of Columbia (S)
LASST110000000000005,Employment: District of Columbia (S)
LASST110000000000006,Labor Force: District of Columbia (S)
LASST110000000000007,Employment-Population Ratio: District of Columbia (S)
LASST110000000000008,Labor Force Participation Rate: District of Columbia (S)
LASST120000000000003,Unemployment Rate: Florida (S)
LASST120000000000004,Unemployment: Florida (S)
LASST120000000000005,Employment: Florida (S)
LASST120000000000006,Labor Force: Florida (S)
LASST120000000000007,Employment-Population Ratio: Florida (S)
LASST120000000000008,Labor Force Participation Rate: Florida (S)
LASST130000000000003,Unemployment Rate: Georgia (S)
LASST130000000000004,Unemployment: Georgia (S)
LASST130000000000005,Employment: Georgia (S)
LASST130000000000006,Labor Force: Georgia (S)
LASST130000000000007,Employment-Population Ratio: Georgia (S)
LASST130000000000008,Labor Force Participation Rate: Georgia (S)
LASST150000000000003,Unemployment Rate: Hawaii (S)
LASST150000000000004,Unemployment: Hawaii (S)
LASST150000000000005,Employment: Hawaii (S)
LASST150000000000006,Labor Force: Hawaii (S)
LASST150000000000007,Employment-Population Ratio: Hawaii (S)
LASST150000000000008,Labor Force Participation Rate: Hawaii (S)
LASST160000000000003,Unemployment Rate: Idaho (S)
LASST160000000000004,Unemployment: Idaho (S)
LASST160000000000005,Employment: Idaho (S)
LASST160000000000006,Labor Force: Idaho (S)
LASST160000000000007,Employment-Population Ratio: Idaho (S)
LASST160000000000008,Labor Force Participation Rate: Idaho (S)
LASST170000000000003,Unemployment Rate: Illinois (S)
LASST170000000000004,Unemployment: Illinois (S)
LASST170000000000005,Employment: Illinois (S)
LASST170000000000006,Labor Force: Illinois (S)
LASST170000000000007,Employment-Population Ratio: Illinois (S)
LASST170000000000008,Labor Force Participation Rate: Illinois (S)
LASST180000000000003,Unemployment Rate: Indiana (S)
LASST180000000000004,Unemployment: Indiana (S)
LASST180000000000005,Employment: Indiana (S)
LASST180000000000006,Labor Force: Indiana (S)
LASST180000000000007,Employment-Population Ratio: Indiana (S)
LASST180000000000008,Labor Force Participation Rate: Indiana (S)
LASST190000000000003,Unemployment Rate: Iowa (S)
LASST190000000000004,Unemployment: Iowa (S)
LASST190000000000005,Employment: Iowa (S)
LASST190000000000006,Labor Force: Iowa (S)
LASST190000000000007,Employment-Population Ratio: Iowa (S)
LASST190000000000008,Labor Force Participation Rate: Iowa (S)
LASST200000000000003,Unemployment Rate: Kansas (S)
LASST200000000000004,Unemployment: Kansas (S)
LASST200000000000005,Employment: Kansas (S)
LASST200000000000006,Labor Force: Kansas (S)
LASST200000000000007,Employment-Population Ratio: Kansas (S)
LASST200000000000008,Labor Force Participation Rate: Kansas (S)
LASST210000000000003,Unemployment Rate: Kentucky (S)
LASST210000000000004,Unemployment: Kentucky (S)
LASST210000000000005,Employment: Kentucky (S)
LASST210000000000006,Labor Force: Kentucky (S)
LASST210000000000007,Employment-Population Ratio: Kentucky (S)
LASST210000000000008,Labor Force Participation Rate: Kentucky (S)
LASST220000000000003,Unemployment Rate: Louisiana (S)
LASST220000000000004,Unemployment: Louisiana (S)
LASST220000000000005,Employment: Louisiana (S)
LASST220000000000006,Labor Force: Louisiana (S)
LASST220000000000007,Employment-Population Ratio: Louisiana (S)
LASST220000000000008,Labor Force Participation Rate: Louisiana (S)
LASST230000000000003,Unemployment Rate: Maine (S)
LASST230000000000004,Unemployment: Maine (S)
LASST230000000000005,Employment: Maine (S)
LASST230000000000006,Labor Force: Maine (S)
LASST230000000000007,Employment-Population Ratio: Maine (S)
LASST230000000000008,Labor Force Participation Rate: Maine (S)
LASST240000000000003,Unemployment Rate: Maryland (S)
LASST240000000000004,Unemployment: Maryland (S)
LASST240000000000005,Employment: Maryland (S)
LASST240000000000006,Labor Force: Maryland (S)
LASST240000000000007,Employment-Population Ratio: Maryland (S)
LASST240000000000008,Labor Force Participation Rate: Maryland (S)
LASST250000000000003,Unemployment Rate: Massachusetts (S)
LASST250000000000004,Unemployment: Massachusetts (S)
LASST250000000000005,Employment: Massachusetts (S)
LASST250000000000006,Labor Force: Massachusetts (S)
LASST250000000000007,Employment-Population Ratio: Massachusetts (S)
LASST250000000000008,Labor Force Participation Rate: Massachusetts (S)
LASST260000000000003,Unemployment Rate: Michigan (S)
LASST260000000000004,Unemployment: Michigan (S)
LASST260000000000005,Employment: Michigan (S)
LASST260000000000006,Labor Force: Michigan (S)
LASST260000000000007,Employment-Population Ratio: Michigan (S)
LASST260000000000008,Labor Force Participation Rate: Michigan (S)
LASST270000000000003,Unemployment Rate: Minnesota (S)
LASST270000000000004,Unemployment: Minnesota (S)
LASST270000000000005,Employment: Minnesota (S)
LASST270000000000006,Labor Force: Minnesota (S)
LASST270000000000007,Employment-Population Ratio: Minnesota (S)
LASST270000000000008,Labor Force Participation Rate: Minnesota (S)
LASST280000000000003,Unemployment Rate: Mississippi (S)
LASST280000000000004,Unemployment: Mississippi (S)
LASST280000000000005,Employment: Mississippi (S)
LASST280000000000006,Labor Force: Mississippi (S)
LASST280000000000007,Employment-Population Ratio: Mississippi (S)
LASST280000000000008,Labor Force Participation Rate: Mississippi (S)
LASST290000000000003,Unemployment Rate: Missouri (S)
LASST290000000000004,Unemployment: Missouri (S)
LASST290000000000005,Employment: Missouri (S)
LASST290000000000006,Labor Force: Missouri (S)
LASST290000000000007,Employment-Population Ratio: Missouri (S)
LASST290000000000008,Labor Force Participation Rate: Missouri (S)
LASST300000000000003,Unemployment Rate: Montana (S)
LASST300000000000004,Unemployment: Montana (S)
LASST300000000000005,Employment: Montana (S)
LASST300000000000006,Labor Force: Montana (S)
LASST300000000000007,Employment-Population Ratio: Montana (S)
LASST300000000000008,Labor Force Participation Rate: Montana (S)
LASST310000000000003,Unemployment Rate: Nebraska (S)
LASST310000000000004,Unemployment: Nebraska (S)
LASST310000000000005,Employment: Nebraska (S)
LASST310000000000006,Labor Force: Nebraska (S)
LASST310000000000007,Employment-Population Ratio: Nebraska (S)
LASST310000000000008,Labor Force Participation Rate: Nebraska (S)
LASST320000000000003,Unemployment Rate: Nevada (S)
LASST320000000000004,Unemployment: Nevada (S)
LASST320000000000005,Employment: Nevada (S)
LASST320000000000006,Labor Force: Nevada (S)
LASST320000000000007,Employment-Population Ratio: Nevada (S)
LASST320000000000008,Labor Force Participation Rate: Nevada (S)
LASST330000000000003,Unemployment Rate: New Hampshire (S)
LASST330000000000004,Unemployment: New Hampshire (S)
LASST330000000000005,Employment: New Hampshire (S)
LASST330000000000006,Labor Force: New Hampshire (S)
LASST330000000000007,Employment-Population Ratio: New Hampshire (S)
LASST330000000000008,Labor Force Participation Rate: New Hampshire (S)
LASST340000000000003,Unemployment Rate: New Jersey (S)
LASST340000000000004,Unemployment: New Jersey (S)
LASST340000000000005,Employment: New Jersey (S)
LASST340000000000006,Labor Force: New Jersey (S)
LASST340000000000007,Employment-Population Ratio: New Jersey (S)
LASST340000000000008,Labor Force Participation Rate: New Jersey (S)
LASST350000000000003,Unemployment Rate: New Mexico (S)
LASST350000000000004,Unemployment: New Mexico (S)
LASST350000000000005,Employment: New Mexico (S)
LASST350000000000006,Labor Force: New Mexico (S)
LASST350000000000007,Employment-Population Ratio: New Mexico (S)
LASST350000000000008,Labor Force Participation Rate: New Mexico (S)
LASST360000000000003,Unemployment Rate: New York (S)
LASST360000000000004,Unemployment: New York (S)
LASST360000000000005,Employment: New York (S)
LASST360000000000006,Labor Force: New York (S)
LASST360000000000007,Employment-Population Ratio: New York (S)
LASST360000000000008,Labor Force Participation Rate: New York (S)
LASST370000000000003,Unemployment Rate: North Carolina (S)
LASST370000000000004,Unemployment: North Carolina (S)
LASST370000000000005,Employment: North Carolina (S)
LASST370000000000006,Labor Force: North Carolina (S)
LASST370000000000007,Employment-Population Ratio: North Carolina (S)
LASST370000000000008,Labor Force Participation Rate: North Carolina (S)
LASST380000000000003,Unemployment Rate: North Dakota (S)
LASST380000000000004,Unemployment: North Dakota (S)
LASST380000000000005,Employment: North Dakota (S)
LASST380000000000006,Labor Force: North Dakota (S)
LASST380000000000007,Employment-Population Ratio: North Dakota (S)
LASST380000000000008,Labor Force Participation Rate: North Dakota (S)
LASST390000000000003,Unemployment Rate: Ohio (S)
LASST390000000000004,Unemployment: Ohio (S)
LASST390000000000005,Employment: Ohio (S)
LASST390000000000006,Labor Force: Ohio (S)
LASST390000000000007,Employment-Population Ratio: Ohio (S)
LASST390000000000008,Labor Force Participation Rate: Ohio (S)
LASST400000000000003,Unemployment Rate: Oklahoma (S)
LASST400000000000004,Unemployment: Oklahoma (S)
LASST400000000000005,Employment: Oklahoma (S)
LASST400000000000006,Labor Force: Oklahoma (S)
LASST400000000000007,Employment-Population Ratio: Oklahoma (S)
LASST400000000000008,Labor Force Participation Rate: Oklahoma (S)
LASST410000000000003,Unemployment Rate: Oregon (S)
LASST410000000000004,Unemployment: Oregon (S)
LASST410000000000005,Employment: Oregon (S)
LASST410000000000006,Labor Force: Oregon (S)
LASST410000000000007,Employment-Population Ratio: Oregon (S)
LASST410000000000008,Labor Force Participation Rate: Oregon (S)
LASST420000000000003,Unemployment Rate: Pennsylvania (S)
LASST420000000000004,Unemployment: Pennsylvania (S)
LASST420000000000005,Employment: Pennsylvania (S)
LASST420000000000006,Labor Force: Pennsylvania (S)
LASST420000000000007,Employment-Population Ratio: Pennsylvania (S)
LASST420000000000008,Labor Force Participation Rate: Pennsylvania (S)
LASST440000000000003,Unemployment Rate: Rhode Island (S)
LASST440000000000004,Unemployment: Rhode Island (S)
LASST440000000000005,Employment: Rhode Island (S)
LASST440000000000006,Labor Force: Rhode Island (S)
LASST440000000000007,Employment-Population Ratio: Rhode Island (S)
LASST440000000000008,Labor Force Participation Rate: Rhode Island (S)
LASST450000000000003,Unemployment Rate: South Carolina (S)
LASST450000000000004,Unemployment: South Carolina (S)
LASST450000000000005,Employment: South Carolina (S)
LASST450000000000006,Labor Force: South Carolina (S)
LASST450000000000007,Employment-Population Ratio: South Carolina (S)
LASST450000000000008,Labor Force Participation Rate: South Carolina (S)
LASST460000000000003,Unemployment Rate: South Dakota (S)
LASST460000000000004,Unemployment: South Dakota (S)
LASST460000000000005,Employment: South Dakota (S)
LASST460000000000006,Labor Force: South Dakota (S)
LASST460000000000007,Employment-Population Ratio: South Dakota (S)
LASST460000000000008,Labor Force Participation Rate: South Dakota (S)
LASST470000000000003,Unemployment Rate: Tennessee (S)
LASST470000000000004,Unemployment: Tennessee (S)
