series_id,description
CIS2020000430000Q,"Wages and salaries for private industry workers in installation, maintenance, and repair occupations, 3-month percent change, current dollars"
CIS2020000500000I,"Wages and salaries for private industry workers in production, transportation, and material moving occupations, current dollar index"
CIS2020000500000Q,"Wages and salaries for private industry workers in production, transportation, and material moving occupations, 3-month percent change, current dollars"
CIS2020000510000I,"Wages and salaries for private industry workers in production occupations, current dollar index"
CIS2020000510000Q,"Wages and salaries for private industry workers in production occupations, 3-month percent change, current dollars"
CIS2020000520000I,"Wages and salaries for private industry workers in transportation and material moving occupations, current dollar index"
CIS2020000520000Q,"Wages and salaries for private industry workers in transportation and material moving occupations, 3-month percent change, current dollars"
CIS202000052D000I,"(Discontinued SOC 2010) Wages and salaries for Private industry workers in Transportation and material moving, current dollar index"
CIS202000052D000Q,"(Discontinued SOC 2010) Wages and salaries for Private industry workers in Transportation and material moving, 3-month percent change, current dollars"
CIS2020000B00000I,"Wages and salaries for Private industry workers in Blue-collar occupations, Index"
CIS2020000B00000Q,"Wages and salaries for Private industry workers in Blue-collar occupations, 3-month percent change"
CIS2020000W00000I,"Wages and salaries for Private industry workers in White-collar occupations, Index"
CIS2020000W00000Q,"Wages and salaries for Private industry workers in White-collar occupations, 3-month percent change"
CIS2022300000000I,"Wages and salaries for private industry workers in the construction industry, current dollar index"
CIS2022300000000Q,"Wages and salaries for private industry workers in the construction industry, 3-month percent change, current dollars"
CIS2023000000000I,"Wages and salaries for private industry workers in the manufacturing industry, current dollar index"
CIS2023000000000Q,"Wages and salaries for private industry workers in the manufacturing industry, 3-month percent change, current dollars"
CIS2023100000000I,"Wages and salaries for Private industry workers in Nondurables, Index"
CIS2023100000000Q,"Wages and salaries for Private industry workers in Nondurables, 3-month percent change"
CIS2023200000000I,"Wages and salaries for Private industry workers in Durables, Index"
CIS2023200000000Q,"Wages and salaries for Private industry workers in Durables, 3-month percent change"
CIS2023211000000I,"Wages and salaries for private industry workers in the aircraft manufacturing industry, current dollar index"
CIS2023211000000Q,"Wages and salaries for private industry workers in the aircraft manufacturing industry, 3-month percent change, current dollars"
CIS2024000000000I,"Wages and salaries for private industry workers in the trade, transportation, and utilities industry, current dollar index"
CIS2024000000000Q,"Wages and salaries for private industry workers in the trade, transportation, and utilities industry, 3-month percent change, current dollars"
CIS2024110000000I,"Wages and salaries for private industry workers in the wholesale trade industry, current dollar index"
CIS2024110000000Q,"Wages and salaries for private industry workers in the wholesale trade industry, 3-month percent change, current dollars"
CIS2024120000000I,"Wages and salaries for private industry workers in the retail trade industry, current dollar index"
CIS2024120000000Q,"Wages and salaries for private industry workers in the retail trade industry, 3-month percent change, current dollars"
CIS2024300000000I,"Wages and salaries for private industry workers in the transportation and warehousing industry, current dollar index"
CIS2024300000000Q,"Wages and salaries for private industry workers in the transportation and warehousing industry, 3-month percent change, current dollars"
CIS2024400000000I,"Wages and salaries for private industry workers in the utilities industry, current dollar index"
CIS2024400000000Q,"Wages and salaries for private industry workers in the utilities industry, 3-month percent change, current dollars"
CIS2025100000000I,"Wages and salaries for private industry workers in the information industry, current dollar index"
CIS2025100000000Q,"Wages and salaries for private industry workers in the information industry, 3-month percent change, current dollars"
CIS2025200000000I,"Wages and salaries for private industry workers in the finance and insurance industry, current dollar index"
CIS2025200000000Q,"Wages and salaries for private industry workers in the finance and insurance industry, 3-month percent change, current dollars"
CIS202520A000000I,"Wages and salaries for private industry workers in the financial activities industry, current dollar index"
CIS202520A000000Q,"Wages and salaries for private industry workers in the financial activities industry, 3-month percent change, current dollars"
CIS2025220000000I,"Wages and salaries for private industry workers in the credit intermediation and related activities industry, current dollar index"
CIS2025220000000Q,"Wages and salaries for private industry workers in the credit intermediation and related activities industry, 3-month percent change, current dollars"
CIS2025240000000I,"Wages and salaries for private industry workers in the insurance carriers and related activities industry, current dollar index"
CIS2025240000000Q,"Wages and salaries for private industry workers in the insurance carriers and related activities industry, 3-month percent change, current dollars"
CIS2025300000000I,"Wages and salaries for private industry workers in the real estate and rental and leasing industry, current dollar index"
CIS2025300000000Q,"Wages and salaries for private industry workers in the real estate and rental and leasing industry, 3-month percent change, current dollars"
CIS2025400000000I,"Wages and salaries for private industry workers in the professional, scientific, and technical services industry, current dollar index"
CIS2025400000000Q,"Wages and salaries for private industry workers in the professional, scientific, and technical services industry, 3-month percent change, current dollars"
CIS202540A000000I,"Wages and salaries for private industry workers in the professional and business services industry, current dollar index"
CIS202540A000000Q,"Wages and salaries for private industry workers in the professional and business services industry, 3-month percent change, current dollars"
CIS2025600000000I,"Wages and salaries for private industry workers in the administrative and support and waste management and remediation services industry,current dollar index"
CIS2025600000000Q,"Wages and salaries for private industry workers in the administrative and support and waste management and remediation services industry, 3-month percent change, current dollars"
CIS2026000000000I,"Wages and salaries for private industry workers in the education and health services industry, current dollar index"
CIS2026000000000Q,"Wages and salaries for private industry workers in the education and health services industry, 3-month percent change, current dollars"
CIS2026100000000I,"Wages and salaries for private industry workers in the educational services industry, current dollar index"
